day,month,Year,tg,Lat,Lon
4,1,1951,4.69,41.215,-7.538
5,1,1951,8.07,41.215,-7.538
6,1,1951,8.599999,41.215,-7.538
7,1,1951,9.32,41.215,-7.538
8,1,1951,8.69,41.215,-7.538
9,1,1951,6.3599997,41.215,-7.538
10,1,1951,3.8,41.215,-7.538
11,1,1951,2.72,41.215,-7.538
12,1,1951,5.2999997,41.215,-7.538
13,1,1951,7.3799996,41.215,-7.538
14,1,1951,10.219999,41.215,-7.538
15,1,1951,10.76,41.215,-7.538
16,1,1951,10.36,41.215,-7.538
17,1,1951,8.69,41.215,-7.538
18,1,1951,7.5,41.215,-7.538
19,1,1951,7.35,41.215,-7.538
20,1,1951,7.29,41.215,-7.538
21,1,1951,6.02,41.215,-7.538
22,1,1951,4.2,41.215,-7.538
23,1,1951,4.54,41.215,-7.538
24,1,1951,1.99,41.215,-7.538
25,1,1951,4.68,41.215,-7.538
26,1,1951,4.0,41.215,-7.538
27,1,1951,4.06,41.215,-7.538
28,1,1951,4.9,41.215,-7.538
29,1,1951,3.6699998,41.215,-7.538
30,1,1951,2.21,41.215,-7.538
31,1,1951,4.79,41.215,-7.538
1,2,1951,8.0199995,41.215,-7.538
2,2,1951,5.71,41.215,-7.538
3,2,1951,5.99,41.215,-7.538
4,2,1951,5.8799996,41.215,-7.538
5,2,1951,2.5,41.215,-7.538
6,2,1951,3.29,41.215,-7.538
7,2,1951,4.94,41.215,-7.538
8,2,1951,8.23,41.215,-7.538
9,2,1951,2.12,41.215,-7.538
10,2,1951,1.42,41.215,-7.538
11,2,1951,0.85999995,41.215,-7.538
12,2,1951,3.75,41.215,-7.538
13,2,1951,4.61,41.215,-7.538
14,2,1951,4.7599998,41.215,-7.538
15,2,1951,3.6999998,41.215,-7.538
16,2,1951,4.25,41.215,-7.538
17,2,1951,8.389999,41.215,-7.538
18,2,1951,9.82,41.215,-7.538
19,2,1951,7.6,41.215,-7.538
20,2,1951,8.72,41.215,-7.538
21,2,1951,6.8799996,41.215,-7.538
22,2,1951,6.99,41.215,-7.538
23,2,1951,7.89,41.215,-7.538
24,2,1951,5.98,41.215,-7.538
25,2,1951,4.41,41.215,-7.538
26,2,1951,4.38,41.215,-7.538
27,2,1951,6.5099998,41.215,-7.538
28,2,1951,7.2799997,41.215,-7.538
1,3,1951,6.2599998,41.215,-7.538
2,3,1951,7.47,41.215,-7.538
3,3,1951,8.139999,41.215,-7.538
4,3,1951,5.0899997,41.215,-7.538
5,3,1951,5.8199997,41.215,-7.538
6,3,1951,5.15,41.215,-7.538
7,3,1951,5.39,41.215,-7.538
8,3,1951,3.3,41.215,-7.538
9,3,1951,4.48,41.215,-7.538
10,3,1951,6.2,41.215,-7.538
11,3,1951,6.2799997,41.215,-7.538
12,3,1951,7.0499997,41.215,-7.538
13,3,1951,6.35,41.215,-7.538
14,3,1951,7.3599997,41.215,-7.538
15,3,1951,10.9,41.215,-7.538
16,3,1951,13.69,41.215,-7.538
17,3,1951,12.099999,41.215,-7.538
18,3,1951,9.05,41.215,-7.538
19,3,1951,10.79,41.215,-7.538
20,3,1951,12.05,41.215,-7.538
21,3,1951,13.139999,41.215,-7.538
22,3,1951,15.469999,41.215,-7.538
23,3,1951,15.309999,41.215,-7.538
24,3,1951,12.259999,41.215,-7.538
25,3,1951,9.969999,41.215,-7.538
26,3,1951,10.49,41.215,-7.538
27,3,1951,10.69,41.215,-7.538
28,3,1951,10.719999,41.215,-7.538
29,3,1951,9.03,41.215,-7.538
30,3,1951,7.71,41.215,-7.538
31,3,1951,6.87,41.215,-7.538
1,4,1951,7.74,41.215,-7.538
2,4,1951,8.62,41.215,-7.538
3,4,1951,7.64,41.215,-7.538
4,4,1951,9.849999,41.215,-7.538
5,4,1951,12.559999,41.215,-7.538
6,4,1951,13.139999,41.215,-7.538
7,4,1951,10.58,41.215,-7.538
8,4,1951,8.929999,41.215,-7.538
9,4,1951,9.099999,41.215,-7.538
10,4,1951,7.98,41.215,-7.538
11,4,1951,7.7799997,41.215,-7.538
12,4,1951,9.75,41.215,-7.538
13,4,1951,11.33,41.215,-7.538
14,4,1951,14.099999,41.215,-7.538
15,4,1951,14.33,41.215,-7.538
16,4,1951,16.199999,41.215,-7.538
17,4,1951,15.87,41.215,-7.538
18,4,1951,14.86,41.215,-7.538
19,4,1951,13.75,41.215,-7.538
20,4,1951,11.28,41.215,-7.538
21,4,1951,10.42,41.215,-7.538
22,4,1951,10.349999,41.215,-7.538
23,4,1951,11.95,41.215,-7.538
24,4,1951,13.66,41.215,-7.538
25,4,1951,13.059999,41.215,-7.538
26,4,1951,13.25,41.215,-7.538
27,4,1951,13.95,41.215,-7.538
28,4,1951,12.11,41.215,-7.538
29,4,1951,10.7699995,41.215,-7.538
30,4,1951,11.79,41.215,-7.538
1,5,1951,10.73,41.215,-7.538
2,5,1951,9.75,41.215,-7.538
3,5,1951,9.7699995,41.215,-7.538
4,5,1951,10.15,41.215,-7.538
5,5,1951,10.42,41.215,-7.538
6,5,1951,10.09,41.215,-7.538
7,5,1951,9.5199995,41.215,-7.538
8,5,1951,9.87,41.215,-7.538
9,5,1951,6.6499996,41.215,-7.538
10,5,1951,6.8999996,41.215,-7.538
11,5,1951,8.54,41.215,-7.538
12,5,1951,10.86,41.215,-7.538
13,5,1951,10.95,41.215,-7.538
14,5,1951,11.78,41.215,-7.538
15,5,1951,13.48,41.215,-7.538
16,5,1951,14.62,41.215,-7.538
17,5,1951,15.219999,41.215,-7.538
18,5,1951,11.95,41.215,-7.538
19,5,1951,10.84,41.215,-7.538
20,5,1951,12.21,41.215,-7.538
21,5,1951,13.61,41.215,-7.538
22,5,1951,14.69,41.215,-7.538
23,5,1951,16.359999,41.215,-7.538
24,5,1951,14.589999,41.215,-7.538
25,5,1951,12.969999,41.215,-7.538
26,5,1951,10.7,41.215,-7.538
27,5,1951,10.559999,41.215,-7.538
28,5,1951,11.88,41.215,-7.538
29,5,1951,11.53,41.215,-7.538
30,5,1951,10.66,41.215,-7.538
31,5,1951,11.48,41.215,-7.538
1,6,1951,12.4,41.215,-7.538
2,6,1951,15.99,41.215,-7.538
3,6,1951,16.859999,41.215,-7.538
4,6,1951,15.17,41.215,-7.538
5,6,1951,15.79,41.215,-7.538
